"rule_title","severity","product","group_id","rule_id","check_content","fix_text","rule_version"
"Domain-joined systems must use Windows 11 Enterprise Edition 64-bit version.","medium","Microsoft Windows 11 ","V-253254","SV-253254r828846","Verify domain-joined systems are using Windows 11 Enterprise Edition 64-bit version.

For standalone systems, this is NA.

Open """"Settings"""".

Select """"System"""", then """"About"""".

If """"Edition"""" is not """"Windows 11 Enterprise"""", this is a finding.

If """"System type"""" is not """"64-bit operating system..."""", this is a finding.","Use Windows 11 Enterprise 64-bit version for domain-joined systems.","WN11-00-000005"
"Windows 11 domain-joined systems must have a Trusted Platform Module (TPM) enabled.","medium","Microsoft Windows 11 ","V-253255","SV-253255r877465","Verify domain-joined systems have a TPM enabled and ready for use.

For standalone systems, this is NA.

Virtualization-based security, including Credential Guard, currently cannot be implemented in virtual desktop implementations (VDI) due to specific supporting requirements including a TPM, UEFI with Secure Boot, and the capability to run the Hyper-V feature within the virtual desktop.

For VDIs where the virtual desktop instance is deleted or refreshed upon logoff, this is NA.

Verify the system has a TPM and is ready for use.
Run """"tpm.msc"""".
Review the sections in the center pane.
""""Status"""" must indicate it has been configured with a message such as """"The TPM is ready for use"""" or """"The TPM is on and ownership has been taken"""".
TPM Manufacturer Information - Specific Version = 2.0

If a TPM is not found or is not ready for use, this is a finding.","For standalone systems, this is NA.

Virtualization-based security, including Credential Guard, currently cannot be implemented in virtual desktop implementations (VDI) due to specific supporting requirements including a TPM, UEFI with Secure Boot, and the capability to run the Hyper-V feature within the virtual desktop.

For VDIs where the virtual desktop instance is deleted or refreshed upon logoff, this is NA.

Ensure domain-joined systems must have a TPM that is configured for use. (Versions 2.0 support Credential Guard.)

The TPM must be enabled in the firmware.
Run """"tpm.msc"""" for configuration options in Windows.","WN11-00-000010"
"Windows 11 systems must have Unified Extensible Firmware Interface (UEFI) firmware and be configured to run in UEFI mode, not Legacy BIOS.","medium","Microsoft Windows 11 ","V-253256","SV-253256r877465","For virtual desktop implementations (VDIs) where the virtual desktop instance is deleted or refreshed upon logoff, this is NA.

Verify the system firmware is configured to run in UEFI mode, not Legacy BIOS.

Run """"System Information"""".

Under """"System Summary"""", if """"BIOS Mode"""" does not display """"UEFI"""", this is a finding.","Configure UEFI firmware to run in UEFI mode, not Legacy BIOS mode.","WN11-00-000015"
"Secure Boot must be enabled on Windows 11 systems.","medium","Microsoft Windows 11 ","V-253257","SV-253257r877465","Verify the system firmware is configured for Secure Boot.

For virtual desktop implementations (VDIs) where the virtual desktop instance is deleted or refreshed upon logoff, this is NA.

Run """"System Information"""".

Under """"System Summary"""", if """"Secure Boot State"""" does not display """"On"""", this is a finding.","Enable Secure Boot in the system firmware.","WN11-00-000020"
"Windows 11 must employ automated mechanisms to determine the state of system components with regard to flaw remediation using the following frequency: continuously, where ESS is used; 30 days, for any additional internal network scans not covered by ESS; and annually, for external scans by Computer Network Defense Service Provider (CNDSP).","medium","Microsoft Windows 11 ","V-253258","SV-253258r828858","Verify DoD-approved ESS software is installed and properly operating. Ask the site ISSM for documentation of the ESS software installation and configuration.

If the ISSM is not able to provide a documented configuration for an installed ESS or if the ESS software is not properly maintained or used, this is a finding.

Note: Example of documentation can be a copy of the site's CCB approved Software Baseline with version of software noted or a memo from the ISSM stating current ESS software and version.","Install DoD-approved ESS software and ensure it is operating continuously.","WN11-00-000025"
"Windows 11 information systems must use BitLocker to encrypt all disks to protect the confidentiality and integrity of all information at rest.","medium","Microsoft Windows 11 ","V-253259","SV-253259r877379","Verify all Windows 11 information systems (including SIPRNet) employ BitLocker for full disk encryption.

For virtual desktop implementations (VDIs) in which the virtual desktop instance is deleted or refreshed upon logoff, this is NA.
For AVD implementations with no data at rest, this is NA.

If full disk encryption using BitLocker is not implemented, this is a finding.

Verify BitLocker is turned on for the operating system drive and any fixed data drives.

Open """"BitLocker Drive Encryption"""" from the Control Panel.

If the operating system drive or any fixed data drives have """"Turn on BitLocker"""", this is a finding.

Note: An alternate encryption application may be used in lieu of BitLocker providing it is configured for full disk encryption and satisfies the pre-boot authentication requirements (WN11-00-000031 and WN11-00-000032).","Enable full disk encryption on all information systems (including SIPRNet) using BitLocker.

BitLocker, included in Windows, can be enabled in the Control Panel under """"BitLocker Drive Encryption"""" as well as other management tools.

Note: An alternate encryption application may be used in lieu of BitLocker providing it is configured for full disk encryption and satisfies the pre-boot authentication requirements (WN11-00-000031 and WN11-00-000032).","WN11-00-000030"
"Windows 11 systems must use a BitLocker PIN for pre-boot authentication.","medium","Microsoft Windows 11 ","V-253260","SV-253260r877378","If the following registry value does not exist or is not configured as specified, this is a finding:

For virtual desktop implementations (VDIs) in which the virtual desktop instance is deleted or refreshed upon logoff, this is NA.

For AVD implementations with no data at rest, this is NA.

Registry Hive: HKEY_LOCAL_MACHINE
Registry Path: \SOFTWARE\Policies\Microsoft\FVE\

Value Name: UseAdvancedStartup
Type: REG_DWORD
Value: 0x00000001 (1)

If one of the following registry values does not exist or is not configured as specified, this is a finding.

Registry Hive: HKEY_LOCAL_MACHINE
Registry Path: \SOFTWARE\Policies\Microsoft\FVE\

Value Name: UseTPMPIN
Type: REG_DWORD
Value: 0x00000001 (1)

Value Name: UseTPMKeyPIN
Type: REG_DWORD
Value: 0x00000001 (1)

When BitLocker network unlock is used:

Value Name: UseTPMPIN
Type: REG_DWORD
Value: 0x00000002 (2)

Value Name: UseTPMKeyPIN
Type: REG_DWORD
Value: 0x00000002 (2)

BitLocker network unlock may be used in conjunction with a BitLocker PIN. See the article below regarding information about network unlock.

https://docs.microsoft.com/en-us/windows/security/information-protection/bitlocker/bitlocker-how-to-enable-network-unlock","Configure the policy value for Computer Configuration >> Administrative Templates >> Windows Components >> BitLocker Drive Encryption >> Operating System Drives """"Require additional authentication at startup"""" to """"Enabled"""" with """"Configure TPM Startup PIN:"""" set to """"Require startup PIN with TPM"""" or with """"Configure TPM startup key and PIN:"""" set to """"Require startup key and PIN with TPM"""".","WN11-00-000031"
"Windows 11 systems must use a BitLocker PIN with a minimum length of six digits for pre-boot authentication.","medium","Microsoft Windows 11 ","V-253261","SV-253261r828867","If the following registry value does not exist or is not configured as specified, this is a finding:

For virtual desktop implementations (VDIs) in which the virtual desktop instance is deleted or refreshed upon logoff, this is NA.

For AVD implementations with no data at rest, this is NA.

Registry Hive: HKEY_LOCAL_MACHINE
Registry Path: \SOFTWARE\Policies\Microsoft\FVE\

Value Name: MinimumPIN
Type: REG_DWORD
Value: 0x00000006 (6) or greater","Configure the policy value for Computer Configuration >> Administrative Templates >> Windows Components >> BitLocker Drive Encryption >> Operating System Drives """"Configure minimum PIN length for startup"""" to """"Enabled"""" with """"Minimum characters:"""" set to """"6"""" or greater.","WN11-00-000032"
"The operating system must employ a deny-all, permit-by-exception policy to allow the execution of authorized software programs.","medium","Microsoft Windows 11 ","V-253262","SV-253262r890447","This is applicable to unclassified systems.

Verify the operating system employs a deny-all, permit-by-exception policy to allow the execution of authorized software programs. This must include packaged apps such as the universal apps installed by default on systems.

If an application allowlisting program is not in use on the system, this is a finding.

Configuration of allowlisting applications will vary by the program.

AppLocker is an allowlisting application built into Windows 11 Enterprise. A deny-by-default implementation is initiated by enabling any AppLocker rules within a category, only allowing what is specified by defined rules.

If AppLocker is used, perform the following to view the configuration of AppLocker:
Run """"PowerShell"""".

Execute the following command, substituting [c:\temp\file.xml] with a location and file name appropriate for the system:
Get-AppLockerPolicy -Effective -XML > c:\temp\file.xml

This will produce an xml file with the effective settings that can be viewed in a browser or opened in a program such as Excel for review.

Implementation guidance for AppLocker is available at the following link:

https://docs.microsoft.com/en-us/windows/security/threat-protection/windows-defender-application-control/applocker/applocker-policies-deployment-guide","Configure an application allowlisting program to employ a deny-all, permit-by-exception policy to allow the execution of authorized software programs.

Configuration of allowlisting applications will vary by the program. AppLocker is an allowlisting application built into Windows 11 Enterprise.

If AppLocker is used, it is configured through group policy in Computer Configuration >> Windows Settings >> Security Settings >> Application Control Policies >> AppLocker.

Implementation guidance for AppLocker is available in the NSA paper """"Application allowlisting using Microsoft AppLocker"""" at the following link:

https://docs.microsoft.com/en-us/windows/security/threat-protection/windows-defender-application-control/applocker/applocker-policies-deployment-guide","WN11-00-000035"
"Windows 11 systems must be maintained at a supported servicing level.","high","Microsoft Windows 11 ","V-253263","SV-253263r828873","Run """"winver.exe"""".

If the """"About Windows"""" dialog box does not display """"Microsoft Windows 11 Version 21H2 (OS Build 22000.348)"""" or greater, this is a finding.","Update systems on the Semi-Annual Channel to """"Microsoft Windows 11 Version 21H2 (OS Build 22000.348)"""" or greater.","WN11-00-000040"
