rule_id,FixText,Subcat,Value,Role,Results
SV-205625r852412,"Audit ""Security Group Management"" with ""Success"" selected.",Security Group Management,Success,member,
SV-205626r852413,"Audit ""User Account Management"" with ""Success"" selected.",User Account Management,Success,member,
SV-205627r852414,"Audit ""User Account Management"" with ""Failure"" selected.",User Account Management,Failure,member,
SV-205628r852415,"Audit ""Computer Account Management"" with ""Success"" selected.",Computer Account Management,Success,member,
SV-205634r569188,"Audit ""Logon"" with ""Success"" selected.",Logon,Success,member,
SV-205635r569188,"Audit ""Logon"" with ""Failure"" selected.",Logon,Failure,member,
SV-205729r569188,"Audit ""Account Lockout"" with ""Success"" selected.",Account Lockout,Success,member,
SV-205730r569188,"Audit ""Account Lockout"" with ""Failure"" selected.",Account Lockout,Failure,member,
SV-205769r852470,"Audit ""Other Account Management Events"" with ""Success"" selected.",Other Account Management Events,Success,member,
SV-205770r852471,"Audit ""Process Creation"" with ""Success"" selected.",Process Creation,Success,member,
SV-205771r852472,"Audit ""Audit Policy Change"" with ""Success"" selected.",Audit Policy Change,Success,member,
SV-205772r852473,"Audit ""Audit Policy Change"" with ""Failure"" selected.",Audit Policy Change,Failure,member,
SV-205773r852474,"Audit ""Authentication Policy Change"" with ""Success"" selected.",Authentication Policy Change,Success,member,
SV-205774r852475,"Audit ""Authorization Policy Change"" with ""Success"" selected.",Authorization Policy Change,Success,member,
SV-205775r852476,"Audit ""Sensitive Privilege Use"" with ""Success"" selected.",Sensitive Privilege Use,Success,member,
SV-205776r852477,"Audit ""Sensitive Privilege Use"" with ""Failure"" selected.",Sensitive Privilege Use,Failure,member,
SV-205777r852478,"Audit ""IPsec Driver"" with ""Success"" selected.",IPsec Driver,Success,member,
SV-205778r852479,"Audit ""IPsec Driver"" with ""Failure"" selected.",IPsec Driver,Failure,member,
SV-205779r852480,"Audit ""Other System Events"" with ""Success"" selected.",Other System Events,Success,member,
SV-205780r852481,"Audit ""Other System Events"" with ""Failure"" selected.",Other System Events,Failure,member,
SV-205781r852482,"Audit ""Security State Change"" with ""Success"" selected.",Security State Change,Success,member,
SV-205782r852483,"Audit ""Security System Extension"" with ""Success"" selected.",Security System Extension,Success,member,
SV-205783r852484,"Audit ""System Integrity"" with ""Success"" selected.",System Integrity,Success,member,
SV-205784r852485,"Audit ""System Integrity"" with ""Failure"" selected.",System Integrity,Failure,member,
SV-205832r569188,"Audit ""Credential Validation"" with ""Success"" selected.",Credential Validation,Success,member,
SV-205833r569188,"Audit ""Credential Validation"" with ""Failure"" selected.",Credential Validation,Failure,member,
SV-205834r569188,"Audit ""Group Membership"" with ""Success"" selected.",Group Membership,Success,member,
SV-205835r569188,"Audit ""Special Logon"" with ""Success"" selected.",Special Logon,Success,member,
SV-205836r569188,"Audit ""Other Object Access Events"" with ""Success"" selected.",Other Object Access Events,Success,member,
SV-205837r569188,"Audit ""Other Object Access Events"" with ""Failure"" selected.",Other Object Access Events,Failure,member,
SV-205838r569188,"Audit ""Logoff"" with ""Success"" selected.",Logoff,Success,member,
SV-205839r569188,"Audit ""PNP Activity"" with ""Success"" selected.",PNP Activity,Success,member,
SV-205840r569188,"Audit ""Removable Storage"" with ""Success"" selected.",Removable Storage,Success,member,
SV-205841r569188,"Audit ""Removable Storage"" with ""Failure"" selected.",Removable Storage,Failure,member,
SV-205791r852492,"Directory Service Access with ""Success"" selected.",Directory Service Access,Success,DC,
SV-205792r852493,"Directory Service Access with ""Failure"" selected.",Directory Service Access,Failure,DC,
SV-205793r852494,"Directory Service Changes with ""Success"" selected.",Directory Service Changes,Success,DC ,
SV-205794r569188,"Directory Service Changes with ""Failure"" selected.",Directory Service Changes,Failure,DC,
